item_id,title,rating,description,genre
1,Toy Story,3.8764044943820224,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Animation,Childrens,Comedy"
2,GoldenEye,3.203125,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.","Action,Adventure,Thriller"
3,Four Rooms,3.011494252873564,Four interlocking tales that take place in a fading hotel on New Year's Eve.,Thriller
4,Get Shorty,3.543269230769231,A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.,"Action,Comedy,Drama"
5,Copycat,3.2857142857142856,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,"Crime,Drama,Thriller"
6,Shanghai Triad,3.576923076923077,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Drama
7,Twelve Monkeys,3.7912371134020617,"A documentary following Terry Gilliam through the creation of ""12 Monkeys"" (1995)","Drama,Sci-Fi"
8,Babe,4.00925925925926,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...","Childrens,Comedy,Drama"
9,Dead Man Walking,3.887372013651877,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Drama
10,Richard III,3.8181818181818175,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,"Drama,War"
11,Seven,3.8468085106382977,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.","Crime,Thriller"
12,The Usual Suspects,4.390804597701149,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"Crime,Thriller"
13,Mighty Aphrodite,3.432584269662921,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",Comedy
14,Il Postino,3.9611111111111112,"A short documentary about Kashikul Vicenza, a 62-year-old postman. It covers a field of 50 villages and hamlets of the picturesque interior of Istria. This documentary was shot before his ...","Drama,Romance"
15,Mr. Holland's Opus,3.7738515901060072,A frustrated composer finds fulfillment as a high school music teacher.,Drama
16,French Twist,3.2051282051282053,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.","Comedy,Romance"
17,From Dusk Till Dawn,3.119565217391304,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","Action,Comedy,Crime,Horror,Thriller"
18,The White Balloon,2.8,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,Drama
19,Antonia's Line,3.925373134328358,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",Drama
20,Angels and Insects,3.373134328358209,In the 1800s a naturalist marries into a family of British country gentry.,"Drama,Romance"
21,Muppet Treasure Island,2.7710843373493974,"The Muppets set sail in search of treasure, with Jim Hawkins and Long John Silver.","Action,Adventure,Comedy,Musical,Thriller"
22,Braveheart,4.147766323024055,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Action,Drama,War"
23,Taxi Driver,4.128491620111732,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Drama,Thriller"
24,Rumble in the Bronx,3.4709302325581395,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,"Action,Adventure,Crime"
25,The Birdcage,3.444055944055944,"A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing, conservative parents.",Comedy
26,The Brothers McMullen,3.452054794520548,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",Comedy
27,Bad Boys,3.1052631578947367,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,Action
28,Apollo 13,3.927007299270073,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,"Action,Drama,Thriller"
29,Batman Forever,2.702702702702702,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.","Action,Adventure,Comedy,Crime"
30,Belle de jour,3.941176470588236,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Drama
31,Crimson Tide,3.633333333333333,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger-happy Captain from launching his missiles before confirming his orders to do so.","Drama,Thriller,War"
